Title,Poster URL,Detected Language,Line 1,Line 2,Line 3,Error
The Flower of My Secret,https://m.media-amazon.com/images/M/MV5BYTc4NTkxZjEtYmExNi00NDhiLWIzMGItNDczMTAyZWI0OGE4XkEyXkFqcGc@.jpg,en,Secret,9f my,"sympathetic comedy of his earlier; best work:""",
Two Much,https://m.media-amazon.com/images/M/MV5BZmJiODIzNTYtYThlNS00MmUxLTgzYjgtMTIzMjU2MGM0MGMyXkEyXkFqcGc@.jpg,pl,MUCH,HANNAH,BANDERAS,
Ed,,es,,,,"{'errcode': None, 'errmsg': 'None', 'url': 'https://www.imdb.com/find/?q=Ed&s=tt', 'proxy': '', 'exception type': 'IOError', 'original exception': <HTTPError 500: 'Internal Server Error'>}"
Cerro Torre Schrei aus Stein,https://m.media-amazon.com/images/M/MV5BNzUyNmI3NGQtZjU3ZS00MTExLWIxMzYtODc4OWM3N2NiOGZjXkEyXkFqcGc@.jpg,de,STEIN,SCHREI,WERNER HERZOG,
Ma saison pr f r e,https://m.media-amazon.com/images/M/MV5BMTQ0NzE2MzA2NF5BMl5BanBnXkFtZTgwNDc3NTkwMzE@.jpg,fr,PRÉFÉRÉE,MA SAISON,,
A Modern Affair,https://m.media-amazon.com/images/M/MV5BMjE5MDM4NzM2OV5BMl5BanBnXkFtZTcwODU2OTYxMQ@@.jpg,en,modern,affair,a,
Condition Red,https://m.media-amazon.com/images/M/MV5BMjA2MzA2Nzk0MV5BMl5BanBnXkFtZTcwODAyMTgyMQ@@.jpg,en,,,,
Halfaouine Boy of the Terraces,https://m.media-amazon.com/images/M/MV5BNzk3NjEyODcyNV5BMl5BanBnXkFtZTcwMjIyMDUyMQ@@.jpg,en,ALFAOUINE,EXQUISITELY SENSUAL.,#B8,
A Thin Line Between Love and Hate,https://m.media-amazon.com/images/M/MV5BNGQ1ZDYyZTEtYWMwNS00YWE3LTk3MWUtNzgxOTU0MWQyNjdhXkEyXkFqcGc@.jpg,en,HHate,Lynn,Whitfield,
The Last Supper,https://m.media-amazon.com/images/M/MV5BMDBhYjBlYzctOTMyNC00NmMxLTk4YmMtMTU4Yjg3MzMwNjc1XkEyXkFqcGc@.jpg,en,Iast,supper,STARTING MARCH 14,
Rude,https://m.media-amazon.com/images/M/MV5BYWI3Y2RmMmItNzJmMi00ZjAxLWI5NzQtZTIyMzQ5NzJiN2NlXkEyXkFqcGc@.jpg,ro,awakening,RUDE,1,
Carried Away,https://m.media-amazon.com/images/M/MV5BZTA3ZTg4YmItNDVhYi00NzEyLWJhNjEtZjRhMDU5Zjc3ZjczXkEyXkFqcGc@.jpg,en,A story,of first loves,and last chances.,
Land and Freedom,https://m.media-amazon.com/images/M/MV5BNzZiMDNjZjUtZGJkOC00NDAwLWEwYzctMDY4YWUzMDk5ZGZkXkEyXkFqcGc@.jpg,en,9,LoAch,FILM,
Denise Calls Up,https://m.media-amazon.com/images/M/MV5BYzdhN2MwZDctZTY4Zi00MjE3LThhODItN2MzMDBhNjVjZWZlXkEyXkFqcGc@.jpg,nl,Phone,Entertaining _,"Call Waiting""",
Theodore Rex,https://m.media-amazon.com/images/M/MV5BMzQ4NGIwMjItYzhkNC00ZTI0LWI0YWMtYzgxZDE2ZWViYzRiXkEyXkFqcGc@.jpg,en,(,Whoopi Cokerg,,
A Family Thing,https://m.media-amazon.com/images/M/MV5BMWRlODQ3OGEtNTZiNC00NjFlLWEzODktYWE3YTg1YTI1NGNhXkEyXkFqcGc@.jpg,en,AFAMILY,THING,,
Frisk,https://m.media-amazon.com/images/M/MV5BY2Q2MzY4MzAtMzM3My00MWFlLTg1MGUtNDkwYWRjOTExNjc3XkEyXkFqcGc@.jpg,no,Oro,,,
Sgt. Bilko,https://m.media-amazon.com/images/M/MV5BM2NhYzI5ZjYtNTEzNS00MGQ1LTkxMTQtYTc2ZTk2NzQwMWZmXkEyXkFqcGc@.jpg,da,SGT BILKO,STEVE,MARTIN,
Jack Sarah,https://m.media-amazon.com/images/M/MV5BYWQ1NjI2Y2QtMjJkOC00YzdmLTk0MmYtMzAzMzM4MjQ5YzZiXkEyXkFqcGc@.jpg,id,jack8sarah,richard e. grant,samantha mathis,
Girl 6,https://m.media-amazon.com/images/M/MV5BNDkwNDU4ZDMtZTRhYy00ZGY4LThlMTUtNDQ2ZGE3YWQwM2U4XkEyXkFqcGc@.jpg,tr,EROMS,SI IS FOR SEK.,Madou,
Diabolique,https://m.media-amazon.com/images/M/MV5BMDg5OTRmOTgtYzk0ZC00M2E5LWFmNzItMDc5NmNlMDM0MTdmXkEyXkFqcGc@.jpg,fr,dibolques,Ies,CLOUZOT,
Little Indian Big City,https://m.media-amazon.com/images/M/MV5BNGRkYjY2ODEtZDgyMC00YTM1LWE4MjUtOTJmMGQxZDdhOWVlXkEyXkFqcGc@.jpg,en,City,The city,jungle:,
Roula,https://m.media-amazon.com/images/M/MV5BNDYzMjNmYjctOWU2My00OTYyLWIyNjctYWJjMmMwYTFhYzFlXkEyXkFqcGc@.jpg,ro,ROULA,ERNST JAcoBI,ANCa DOBRA,
Peanuts - Die Bank zahlt alles,https://m.media-amazon.com/images/M/MV5BMzE5MzY1ODQ0MV5BMl5BanBnXkFtZTcwMzY3NDgxMQ@@.jpg,de,Peanuts,,,
Nelly Monsieur Arnaud,https://m.media-amazon.com/images/M/MV5BYjM2Y2M4MmMtNTVlMy00YjAwLWE4ZDQtNGUxNjEwYjAwMjlkXkEyXkFqcGc@.jpg,fr,NELLYet Mr. ARNAUD,Jean-Hugues Anglade,Emmanuelle Béart,
Mission Impossible,https://m.media-amazon.com/images/M/MV5BZGQ5NGEyYTItMjNiMi00Y2EwLTkzOWItMjc5YjJiMjMyNTI0XkEyXkFqcGc@.jpg,fr,MISSION: IMPOSSIBLE,ToM,05.23.25,
Cold Fever,https://m.media-amazon.com/images/M/MV5BNjc0MzA5YTUtNTNlZC00MWZiLTg0YTQtNzUyNjg1NzJlODQzXkEyXkFqcGc@.jpg,en,Klka,koLdum,a,
Moll Flanders,https://m.media-amazon.com/images/M/MV5BMWM4NjRhN2ItZDAzZi00NDY4LTk5OWMtYjRlZTU1ZGIwYjg2XkEyXkFqcGc@.jpg,sv,LANDERS,FRIIMAV,,
Das Superweib,https://m.media-amazon.com/images/M/MV5BMjAzMzgxNjMzMl5BMl5BanBnXkFtZTcwNzUyNzUxMQ@@.jpg,de,DAS SU,ERWEIB,Zufällig verheiratet,
301 302,https://m.media-amazon.com/images/M/MV5BY2YxYTU4MmQtMGVmYi00OGE5LWI5ZGUtZjZiNTNmMmI3NzlmXkEyXkFqcGc@.jpg,unknown,302,30,,
Und keiner weint mir nach,https://m.media-amazon.com/images/M/MV5BMTUyNzcyOTM1Ml5BMl5BanBnXkFtZTcwMDQ0MDAyMQ@@.jpg,de,keiner,nach,Und,
My Mother s Courage,https://m.media-amazon.com/images/M/MV5BMTYzNzI0NTI3Ml5BMl5BanBnXkFtZTcwMDIyMjE0MQ@@.jpg,en,MY MOTHERS COURAGE,PAULIME cOLLINS,smart unsettling:,
Eddie,https://m.media-amazon.com/images/M/MV5BMTUxOTc5MTU1NF5BMl5BanBnXkFtZTgwODYyNTA1NzE@.jpg,cy,EAGLE,THE,HUGH JACKMAN,
Yankee Zulu,https://m.media-amazon.com/images/M/MV5BMjA2MDUyNDc4MV5BMl5BanBnXkFtZTYwNjU3MDg4.jpg,fi,YANKEE,,,
Billy s Holiday,https://m.media-amazon.com/images/M/MV5BNjk3MjBmZjItNWQ2OC00ZWVhLWFkNmUtYzNjYzg5MWRlNjk1XkEyXkFqcGc@.jpg,en,Cast,AA Meeting,In A Podcast,
Purple Noon,https://m.media-amazon.com/images/M/MV5BZjEyYWE3ZGItNDFkMy00MzBmLWFlNTEtYzQ3MDRjN2FkZGUxXkEyXkFqcGc@.jpg,af,PIEIN,1,MAURICE,
August,https://m.media-amazon.com/images/M/MV5BNzQ5ODE4NTcxNV5BMl5BanBnXkFtZTgwNjkyNDQ0MDE@.jpg,et,August OsageCounty,Margo,McGregor,
James and the Giant Peach,https://m.media-amazon.com/images/M/MV5BMmQwNDEyNjItYmExOC00MGU4LWE2MDEtOTFlZTM5MzA1OTY1XkEyXkFqcGc@.jpg,en,Jawes,and the,Pictures,
Kids in the Hall Brain Candy,https://m.media-amazon.com/images/M/MV5BOWUwODQ3ZTAtMDE5OS00YTFiLTlhMWYtZjYyMTdlYTUyYzQ4XkEyXkFqcGc@.jpg,en,inte,BRAIN,CAND,
Faithful,https://m.media-amazon.com/images/M/MV5BMTVkMjhiODQtMjlhMi00ZmU2LWE5YzItYTk5ZDNkNjgwMWZhXkEyXkFqcGc@.jpg,cy,Cher,Chazz Palminteri .,"After 20 Years of marriage,",
Underground,https://m.media-amazon.com/images/M/MV5BZGI3MGFhMTgtMDJjOC00ODU1LTlhMTQtZmYyZDQ3YWQxYjc5XkEyXkFqcGc@.jpg,de,"'ALANDMARK EVENT""","""BREATHTAKHNG""","""EXHILARATHNG""",
Lust och f  gring stor,https://m.media-amazon.com/images/M/MV5BMjVhNTBmMjctMzMyYS00ZTViLWEzZGEtYzZiMjBjMzNlODNlXkEyXkFqcGc@.jpg,sv,FÄGRING,STOR,LUST,
Bloodsport 2,https://m.media-amazon.com/images/M/MV5BYTMwZTIxYzktNzY3YS00NzBlLWFlNzgtMDliODJjZjZmM2E4XkEyXkFqcGc@.jpg,nl,,,,
Mystery Science Theater 3000 The Movie,https://m.media-amazon.com/images/M/MV5BYmIzYmZlNWMtYTVjNC00YWU5LWI1N2UtZjY2MDVjYTE0YjU0XkEyXkFqcGc@.jpg,en,ENCE,ATER,HE,
Tarantella,https://m.media-amazon.com/images/M/MV5BMTJiZDM3ODMtZDQ5OC00OTI2LTgzMzktNjg3ZmY2NWYwYjY1XkEyXkFqcGc@.jpg,it,,,,
Barbarella,https://m.media-amazon.com/images/M/MV5BMjExMzcwMjU4OV5BMl5BanBnXkFtZTgwNzYzMjU2MTE@.jpg,ca,Marcel Marceau; Special guest appearance David Hemmings &s Dildano and with Ugo Tognazzi as Mark Hand;,"published by""Le Terrain Vague"" Screenplay by",Roger,
Hostile Intentions,https://m.media-amazon.com/images/M/MV5BOWUzM2ZlZDktZGJlMi00N2ZhLThlNjYtMjE0N2MzZjVjNzJiXkEyXkFqcGc@.jpg,en,CARRERE,TIA,ARTVISION HOME VIDEO,
They Bite,https://m.media-amazon.com/images/M/MV5BNTZlNDFlZTItNDM0MC00MDM2LWIwMGMtMWY3ZGNmZTdlNGMzXkEyXkFqcGc@.jpg,en,They,They,COMINO BOONTO A THEATAE NEAA YOUI,
Some Folks Call It a Sling Blade,https://m.media-amazon.com/images/M/MV5BMTMxNzU2MDY5N15BMl5BanBnXkFtZTcwODU1MTUxMQ@@.jpg,en,SLING,BLADE,WALSH,
The Run of the Country,https://m.media-amazon.com/images/M/MV5BMjhiOGE0MDctY2FlYi00ZTUyLWE0ZTctODQ5N2ZkZTg5YjNlXkEyXkFqcGc@.jpg,en,ROofuhe,COUNTRY,the,
Alphaville,https://m.media-amazon.com/images/M/MV5BYjk3MmMwMjktMzg3NC00YmJiLTg2YjMtMGZkMDI0MzBiOTNkXkEyXkFqcGc@.jpg,fr,IUE,EDDIE CONSTANTINE,JEAN-LUC,
Coup de torchon,https://m.media-amazon.com/images/M/MV5BMTQ5NjlhNWEtMDdmZC00ZmY5LTgzNWQtYzgyNmJhYTY5NTYzXkEyXkFqcGc@.jpg,en,DE TORCHON,COUP,JEAN-PIERRE MARIELLE,
Tigrero A Film That Was Never Made,https://m.media-amazon.com/images/M/MV5BMTI0ODE4MDc0MV5BMl5BanBnXkFtZTcwMzkzNDUyMQ@@.jpg,en,TIGRERO,RARAJA,MMUKL FULLER,
Windows,https://m.media-amazon.com/images/M/MV5BMjk2ZDM4MjgtMmUwNi00ZWZhLTgzYmEtMDNmMjkyYzU5NmQ4XkEyXkFqcGc@.jpg,pl,WINDOWS,too much,"WINDOWS""'",
It s My Party,https://m.media-amazon.com/images/M/MV5BMmNkYjJmZjQtZmFiZi00ODdkLTkxMTItZjc2YmI1YTZmYzljXkEyXkFqcGc@.jpg,en,IrS IN MY,DNA,,
Country Life,https://m.media-amazon.com/images/M/MV5BMjEzNzM5MDM1Ml5BMl5BanBnXkFtZTcwMDMwMTYyMQ@@.jpg,en,Lilc,,,
Operation Dumbo Drop,https://m.media-amazon.com/images/M/MV5BOTJjM2U4MGMtNThmNi00ODAzLWE1ZGEtMzkyOWFjMzE0YzNjXkEyXkFqcGc@.jpg,en,3,big,"four tons,",
Das Versprechen,https://m.media-amazon.com/images/M/MV5BOWIwNjg0OGYtY2I2YS00ZTcyLTkxMGUtMzFkODhjNDg3MzYwXkEyXkFqcGc@.jpg,de,Er,Ein,Film,
Solo,https://m.media-amazon.com/images/M/MV5BM2M4YzdkMTEtMjUyYy00ZWY0LWI5ODQtNGRkZWQ1MzU5MWM2XkEyXkFqcGc@.jpg,it,(,2024.1 ON AIR,ing Animation,
Under the Domim Tree,https://m.media-amazon.com/images/M/MV5BZGM0Y2M3M2ItMThmMy00MDg4LTkzZGUtNGQ5YzY4Mzg3YjIyXkEyXkFqcGc@.jpg,en,ELI COHEN,OFFICIAL SELECTION,CANNES 1995,
True Crime,https://m.media-amazon.com/images/M/MV5BZTc0YmZlN2QtMTg5YS00Y2E1LTg2ZTYtNWQwMTZhZmZmYmI1XkEyXkFqcGc@.jpg,es,2,Mrue Crine,Clint Eastwood,
Butterfly Kiss,https://m.media-amazon.com/images/M/MV5BNDBhOGU5NDgtNDhhOS00NjNhLWI3NGItYzljMGM4MmRiNGI2XkEyXkFqcGc@.jpg,no,buterfh,AMANDA PLUMMER,black comedy;,
Feeling Minnesota,https://m.media-amazon.com/images/M/MV5BODBjMmYzYmItOWVkNy00YTAyLTkwM2YtMTlhNTY3Njc3YThjXkEyXkFqcGc@.jpg,af,Feeling,Vinceni,Donofio,
Delta of Venus,https://m.media-amazon.com/images/M/MV5BZWJlNWZkNmEtMjc0ZC00NWRlLThjNDAtZDdmYjUzZDJlOTcxXkEyXkFqcGc@.jpg,en,VENUS,DELTA,OF,
Angus,https://m.media-amazon.com/images/M/MV5BNzcyZmM3YWMtNzYzMC00N2NiLTgzMWUtYjIzZWEyNzZlMWFiXkEyXkFqcGc@.jpg,tl,For everyone on the outside looking in_,a r rivedł,From,
Daens,https://m.media-amazon.com/images/M/MV5BMTUxNTgzOTE1OV5BMl5BanBnXkFtZTcwNDI3MzIyMQ@@.jpg,de,Daens,,,
Faces,https://m.media-amazon.com/images/M/MV5BN2RlNThhMDEtNWI4YS00Y2MwLWIwNjItYTI1MjMxNzdlYzU1XkEyXkFqcGc@.jpg,es,@F,"Experience the graphic reallty of DEATH, close-up_",graphic,
Boys,https://m.media-amazon.com/images/M/MV5BMWJlN2U5MzItNjU4My00NTM2LWFjOWUtOWFiNjg3ZTMxZDY1XkEyXkFqcGc@.jpg,so,T,me,New Season,
The Quest,https://m.media-amazon.com/images/M/MV5BMTIzMzMyMTg1OV5BMl5BanBnXkFtZTcwNjMxNjcyMQ@@.jpg,en,LIBRARIAA,QUEST FORITHE SPEAR,SUNDAY DECEMBER 5,
Cosi,https://m.media-amazon.com/images/M/MV5BMGJhYTg4ZTUtMDlhMy00ZDk3LWI0ZTAtNmQwZGFjODhmN2MwXkEyXkFqcGc@.jpg,pt,TINTO BRASS,,,
Sunset Park,https://m.media-amazon.com/images/M/MV5BMmIxNTBiYzEtMmQ5MC00YTNjLWIzMmMtNDMyMzg4ZTc0MGVlXkEyXkFqcGc@.jpg,no,SUNISET PARK,Deep,Big Mike + Adina Howard,
Mulholland Falls,https://m.media-amazon.com/images/M/MV5BOTcwMDE3MTQ5OV5BMl5BanBnXkFtZTcwMzA0MDQ1NA@@.jpg,sv,FALLS,MULHOLLAND,MALKOVICH,
The Truth About Cats Dogs,https://m.media-amazon.com/images/M/MV5BMmZmYzFiOWQtZDkxYS00Y2NhLWI3ODktZjU2Yzk4ZDNiMzU5XkEyXkFqcGc@.jpg,en,Trith,@468,About,
Oliver Company,https://m.media-amazon.com/images/M/MV5BMTAxMzMwNzQtNGYxNC00OTgwLWI3ZTgtMDBlOTE4MGFkMGEwXkEyXkFqcGc@.jpg,en,Company,OLVER,PKCTURES,
Celtic Pride,https://m.media-amazon.com/images/M/MV5BZGQxYjg5OWItNmFmMS00MmQ0LThmMzMtMGJiMjNkZDdkMGVmXkEyXkFqcGc@.jpg,ca,Damon Wayans  Daniel Stern and Dan Aykroyd,If you cant beat 'em,steal himl,
Flipper,https://m.media-amazon.com/images/M/MV5BNWRmNzA4MmYtMThjZS00NzQ5LWI4MzItOWNlZjUxNDVmMzExXkEyXkFqcGc@.jpg,no,flipper,ELIJAH,HoGAN,
Captives,https://m.media-amazon.com/images/M/MV5BYTBiM2UzM2ItM2ZhZi00OTExLWE4M2MtMDM4MWZiNzg3ZDdlXkEyXkFqcGc@.jpg,en,JULIA ORMOND,TIM ROTH,"the unbelievable, the unimaginable,",
Of Love and Shadows,https://m.media-amazon.com/images/M/MV5BNTY3ZTE4MzctMTQ5My00ZjExLWFiNTctOWJkNTdmMmI1OGQ4XkEyXkFqcGc@.jpg,en,of LOVE and,SHADOWS,JENNIFER CONNELLY,
Dead Man,https://m.media-amazon.com/images/M/MV5BYjM4NTg0ZGYtYTY3YS00NzA5LTgzMzctZTYzZjMyMjM5NGYwXkEyXkFqcGc@.jpg,en,Hp,A Knives Out Mystery,,
The Horseman on the Roof,,en,,,,No poster for 'The Horseman on the Roof'
Switchblade Sisters,https://m.media-amazon.com/images/M/MV5BMTJlMTFkZjAtNzBhYS00NDI2LTgzNzAtNDdmNzk1ODJlN2U0XkEyXkFqcGc@.jpg,de,Sisters,9he,are comingl,
Boca a boca,https://m.media-amazon.com/images/M/MV5BNDQ4NzU2ODMtZjY0ZS00M2VjLTk5YmYtNDIzNWIzOGI0NWQ2XkEyXkFqcGc@.jpg,pt,KISSNG,GAME,N,
Les visiteurs,https://m.media-amazon.com/images/M/MV5BY2RhYjBlMTMtNTQxZS00ZDI3LWJiZTEtZDRkZGY3NmNhM2VlXkEyXkFqcGc@.jpg,fr,LsYISITEV,POIRÉ,ALAIN TERZIAN,
Multiplicity,https://m.media-amazon.com/images/M/MV5BZmE0NzY5NjgtZGNjOS00NTk4LThiMjctYTE3MzYxY2FiMzMyXkEyXkFqcGc@.jpg,ro,multiplicity,Better living through cloning.,Gcorge Fenton,
Wallace Gromit The Best of Aardman Animation,https://m.media-amazon.com/images/M/MV5BM2JiMmEwNDAtODkxNS00NjMxLWFkNzMtNGI3MDVhY2Q3ODRhXkEyXkFqcGc@.jpg,en,SISKEL,EBERT,SISK,
Paul Bowles - Halbmond,https://m.media-amazon.com/images/M/MV5BMTI0NDYyNDcwMF5BMl5BanBnXkFtZTcwMTY1OTMzMQ@@.jpg,fr,Paul Bowles,451,,
2 Friends,https://m.media-amazon.com/images/M/MV5BZTZhYzliYzktNGQxNC00YTliLWFhNzMtMDY5Y2ZmOTI4ZjNiXkEyXkFqcGc@.jpg,de,2,FRIENDS,VACATION,
The Craft,https://m.media-amazon.com/images/M/MV5BZTU4ZjkwMzctY2RmYy00OWQ5LWJhMDItM2FjZDg3ZTAzMWI1XkEyXkFqcGc@.jpg,en,CRAFT,THE,ALEXANDER GRUSZYNSKI,
The Great White Hype,https://m.media-amazon.com/images/M/MV5BZDUzZjhiMjktOTdiNi00MTliLWE1NjItMTIxZGMyY2FmZjhmXkEyXkFqcGc@.jpg,en,),"top,",only one man can be king:,
Last Dance,https://m.media-amazon.com/images/M/MV5BZDMyYWU4NzItZDY0MC00ODE2LTkyYTMtMzNkNDdmYmFhZDg0XkEyXkFqcGc@.jpg,fr,ENO,MARE,,
Cold Comfort Farm,https://m.media-amazon.com/images/M/MV5BY2U2MmQ5MjMtNjEyMC00NDE3LTkyNDEtZjI3MTA3ODliNzI4XkEyXkFqcGc@.jpg,en,(OMFORT',IFARM,JoANNA,
Institute Benjamenta or This Dream That One Calls Human Life,https://m.media-amazon.com/images/M/MV5BMTA4OTYxNjQ0NDNeQTJeQWpwZ15BbWU3MDU0MTMyMzg@.jpg,en,BENJAMENTA,cclu,INSTITVTE,
Heaven s Prisoners,https://m.media-amazon.com/images/M/MV5BY2NiNTRiYjktNDBlNS00ZGJkLTgwMmMtNmEwMTAzNzY2YzM4XkEyXkFqcGc@.jpg,en,HAICHER,IVICH,ROBERIS,
Original Gangstas,https://m.media-amazon.com/images/M/MV5BNzFiYmI2ZTYtMDE4OS00NzY4LTlhN2UtNDE3YzEzMjgxMTI5XkEyXkFqcGc@.jpg,tl,FRED WILLIAMSON,R,It's time for,
The Rock,https://m.media-amazon.com/images/M/MV5BMDhkYjRiZWEtZTE0Ny00ZjA1LThmNjgtM2UyYTQzODA4MjdhXkEyXkFqcGc@.jpg,en,3,I,Alcabraz,
Getting Away with Murder,https://m.media-amazon.com/images/M/MV5BMWRjZTU3MzctNTJiZi00ZmIwLWFjY2YtYWE5MzY5OTUzYjY4XkEyXkFqcGc@.jpg,en,J,"66""","60""",
Cemetery Man,https://m.media-amazon.com/images/M/MV5BODM0YWMxYzktZjYzNy00M2IxLWFhN2YtMGNjNjZkMGQ5ZDlhXkEyXkFqcGc@.jpg,en,GUNS AND SEX,ZOMBIES;,OH MYI,
Twister,https://m.media-amazon.com/images/M/MV5BNGVhY2JjYzgtYjAyOC00ODg0LTliYWEtMzliZWYzMjA2NjYyXkEyXkFqcGc@.jpg,de,TwisteR,From the Producers of <JURASSIC PARK? and the Director of <SPEED?,Dont breathe. Dont look back.,
Barb Wire,https://m.media-amazon.com/images/M/MV5BOTVlNGQ5YTEtNzdkZi00MzRkLTk4NGUtMGYyNTkzMjU0MmIyXkEyXkFqcGc@.jpg,de,R,,,
Le gar  u,https://m.media-amazon.com/images/M/MV5BNjQ2NjQ0ZmItZDQ5MS00YTQwLTlkNGItN2U1OTNkOTQ1OTJkXkEyXkFqcGc@.jpg,fr,LËEGARON,de NOCHE,Y,
Thinner,https://m.media-amazon.com/images/M/MV5BNWFhY2U2NWUtOWMwZC00ODMxLTgwNGEtZmE4ZDZlMDJmNThlXkEyXkFqcGc@.jpg,en,Curse,Crime:,STEPHEHKHF,
Spy Hard,https://m.media-amazon.com/images/M/MV5BOTEzMTZiMDgtMzI2MS00MzU3LWI2M2QtZWMzOTM0MTM5ZDQyXkEyXkFqcGc@.jpg,en,intelligence.,LESLIE NIELSEN,AII the action:,
Brothers in Trouble,https://m.media-amazon.com/images/M/MV5BMTI0MzM2OTU5OF5BMl5BanBnXkFtZTYwNzIxOTI5.jpg,en,Brothers,In Trouble,,
A Close Shave,https://m.media-amazon.com/images/M/MV5BM2M4ZmEzYzEtNjk0ZS00ODZkLTkxZjYtNTY4Njg2YjhhMWNkXkEyXkFqcGc@.jpg,en,aGromit,CLOSE,SHAVE,
Force of Evil,https://m.media-amazon.com/images/M/MV5BZGU2MjA3MGEtOGQxMy00NmQ4LTlmZGYtYzJiYWU4YjBmOGIwXkEyXkFqcGc@.jpg,en,EVI,Puts,PEARSON,
The Stupids,https://m.media-amazon.com/images/M/MV5BMWUwYjgwZDQtZjEwZi00OTlkLTkxYzUtMjlmMmMyMzUwYjkzXkEyXkFqcGc@.jpg,en,ZHL,They,BHRISTOPHER STONE,
The Arrival,https://m.media-amazon.com/images/M/MV5BZTRhNGFlMWUtOTZiMy00NzZiLTk4NDQtY2E1NzRlZDFkNzY1XkEyXkFqcGc@.jpg,en,T H E,RL `,facing,
The Man from Down Under,https://m.media-amazon.com/images/M/MV5BYzY1MzhiYjEtN2FlOC00Mjk1LTlkZmUtYjBhOTRkZDNmMTdkXkEyXkFqcGc@.jpg,en,CHARLES,Metrq Gjolduyn-Mayer,1;,
Dr. Strangelove or How I Learned to Stop Worrying and Love the Bomb,https://m.media-amazon.com/images/M/MV5BMjFjYzBlOTktMTI2OS00ZWVhLTgxMDUtNzAwODY2NmI3YTAzXkEyXkFqcGc@.jpg,en,=,Dr; Strangelove,A,
Careful,https://m.media-amazon.com/images/M/MV5BNTQ2NzI5MjUyNF5BMl5BanBnXkFtZTgwNjQyMTIwOTE@.jpg,ro,CAREFUL;,JONAS,LUCAS,
Gold Diggers The Secret of Bear Mountain,https://m.media-amazon.com/images/M/MV5BNzNhZmE2MWItNTcxMy00YjE4LThiNTEtYTUxYWIwOGZhNzA2XkEyXkFqcGc@.jpg,en,Diggers,Gold _,CHRISTINA RICCI,
Kim,https://m.media-amazon.com/images/M/MV5BMmIwNjQ5MzEtNTg4Zi00NWMyLThkZDktZDg0MGU4MmYzMjlhXkEyXkFqcGc@.jpg,sw,POSSIBLE,KiM,,
Carmen Miranda Bananas Is My Business,https://m.media-amazon.com/images/M/MV5BMTM4ODQyMzM5MV5BMl5BanBnXkFtZTcwNDYzMjYxMQ@@.jpg,id,Busiwess,MIRANDA,,
Dung che sai duk,https://m.media-amazon.com/images/M/MV5BMTc0NzMxMjI0MV5BMl5BanBnXkFtZTcwNzIwNzM5MQ@@.jpg,id,1,9,4,
Khomreh,https://m.media-amazon.com/images/M/MV5BYmRlYjYzYTItZWFlZi00NWJjLWIzNTUtNWM1ODk1NTU5NmY4XkEyXkFqcGc@.jpg,sk,0 JARRO,,,
Maya Lin A Strong Clear Vision,https://m.media-amazon.com/images/M/MV5BYjFlZWFjZWYtMzM4Yi00ZmZiLWJiMGEtNDA5OWE4NDZlOTQyXkEyXkFqcGc@.jpg,tl,MAYA,N,"""TWO THUMBS UP!""",
Stalingrad,https://m.media-amazon.com/images/M/MV5BODRiMjFkMmItY2IxZC00YWJmLWJlZTAtMDNhNzY0YmRiMmY4XkEyXkFqcGc@.jpg,sv,STALINGRAD,J 0 $ E P h,D,
The Phantom,https://m.media-amazon.com/images/M/MV5BNDczNzg4OTM3MV5BMl5BanBnXkFtZTcwOTQzMTEzMw@@.jpg,en,OPERA,PHANTOM,of tthe,
Striptease,https://m.media-amazon.com/images/M/MV5BZjA4N2FjZDktYzFkMi00YzMzLWIyNTctNzY5OTA3ZTQ0OTVlXkEyXkFqcGc@.jpg,ro,SIRIPTEASE,M 0  0 r e,D  e,
The Last of the High Kings,https://m.media-amazon.com/images/M/MV5BMjQ5NWZhYTUtZGI0MC00YTIzLWFiN2YtYWZlYTIxMDBjODE3XkEyXkFqcGc@.jpg,en,K,Vr,Jared LETO,
Heavy,https://m.media-amazon.com/images/M/MV5BMjRkYWE1ZDUtYjg4Ny00YjAwLWJlZDQtZGU4MWE3ZmNmNjdmXkEyXkFqcGc@.jpg,sk,LOUDER,EVER!,USA,
Jack,https://m.media-amazon.com/images/M/MV5BNGYxNzgzNTQtY2U0OC00NzU2LTgxZmYtNmZkMmVlMjgyMzM3XkEyXkFqcGc@.jpg,pl,RYAN,JACK,prime,
I Shot Andy Warhol,https://m.media-amazon.com/images/M/MV5BMmY3YjJmOTMtYWE3Yy00MzM0LTgwNmQtYzIwMjIzYzFiZGNmXkEyXkFqcGc@.jpg,en,SHOT ANDY WARHOL,get,only,
The Grass Harp,https://m.media-amazon.com/images/M/MV5BM2MyZmYyZDctOWM3OC00OGM5LTg2YmEtNWQ2ODQwZGNiYTEwXkEyXkFqcGc@.jpg,en,THE GRASS HARP,"""A FILM OF RARE DELIGHT",Outstanding classie filmmaking:,
Someone Else s America,https://m.media-amazon.com/images/M/MV5BZGUxZmRkYjMtZDFlOS00NDQ1LWE3YjItMTcyMGE5ZDg2MGZmXkEyXkFqcGc@.jpg,en,miki manojlovie,someone,tom conti,
Life Is Rosy,https://m.media-amazon.com/images/M/MV5BM2Y4MWY2NDktNWE0Zi00ODkxLTgzNjEtNTI2MjRmYTU1MWU1XkEyXkFqcGc@.jpg,en,Vie,LA,Belle,
